product_name,price,quantity,date_time,total
iPhone 15 Pro,1299.99,2,2026-01-05 10:30:00,2599.98
Samsung 65" QLED TV,1899.99,1,2026-01-06 14:15:30,1899.99
Sony WH-1000XM5 Headphones,399.99,3,2026-01-07 09:45:00,1199.97
Dell XPS 15 Laptop,1999.99,1,2026-01-08 11:20:00,1999.99
iPad Air,799.99,2,2026-01-09 13:50:15,1599.98
LG Washing Machine,699.99,1,2026-01-10 08:30:00,699.99
Apple Watch Series 9,429.99,4,2026-01-11 16:45:30,1719.96
Nikon Z9 Camera,5499.99,1,2026-01-12 10:15:00,5499.99
Samsung Galaxy S24,999.99,3,2026-01-13 12:30:45,2999.97
Nintendo Switch OLED,349.99,2,2026-01-14 15:20:00,699.98
Sony PS5 Console,499.99,2,2026-01-15 09:00:00,999.98
Canon EOS R5 Camera,3899.99,1,2026-01-16 14:35:20,3899.99
Dyson V15 Vacuum,749.99,1,2026-01-17 11:45:00,749.99
Samsung Refrigerator,1299.99,1,2026-01-18 10:20:30,1299.99
AirPods Pro Max,549.99,2,2026-01-19 13:15:00,1099.98
Microsoft Surface Laptop 6,1399.99,1,2026-01-20 09:30:45,1399.99
Bose QuietComfort 45,379.99,3,2026-01-21 16:00:15,1139.97
LG OLED TV 55",2199.99,1,2026-01-22 10:45:00,2199.99
Google Pixel 8 Pro,999.99,2,2026-01-23 12:20:30,1999.98
DJI Air 3S Drone,999.99,1,2026-01-24 14:50:00,999.99
Oculus Meta Quest 3,499.99,2,2026-01-25 11:15:45,999.98
Fitbit Sense 2,299.99,3,2026-01-26 09:40:00,899.97
Philips Air Fryer,199.99,4,2026-01-27 13:25:30,799.96
Instant Pot Pro Plus,149.99,5,2026-01-28 10:50:00,749.95
Roomba j7+ Robot Vacuum,799.99,1,2026-01-29 15:30:20,799.99
KitchenAid Stand Mixer,329.99,2,2026-01-30 11:10:45,659.98
Ninja Blender,129.99,3,2026-01-31 14:45:00,389.97
Vitamix Professional Blender,449.99,1,2026-02-01 09:20:30,449.99
InstaxMini Evo Camera,299.99,2,2026-02-02 12:35:15,599.98
GoPro Hero 12,499.99,1,2026-02-03 10:15:00,499.99
DJI Mini 4 Pro Drone,759.99,1,2026-02-04 14:20:45,759.99
Sony A6400 Camera,898.99,1,2026-02-05 11:40:30,898.99
Fujifilm X-T5 Camera,1699.99,1,2026-02-06 09:50:00,1699.99
Panasonic Lumix S5II,2497.99,1,2026-02-07 13:15:20,2497.99
Tamron 70-180mm Lens,799.99,1,2026-02-08 10:30:45,799.99
Peak Design Camera Bag,299.99,2,2026-02-09 15:45:00,599.98
Manfrotto Tripod,179.99,3,2026-02-10 11:20:30,539.97
LowePro Backpack,249.99,1,2026-02-11 12:50:15,249.99
Samsung 980 Pro SSD 2TB,199.99,4,2026-02-12 09:35:00,799.96
Crucial P5 Plus SSD,129.99,5,2026-02-13 14:10:45,649.95
Kingston Fury Beast RAM,89.99,6,2026-02-14 10:25:30,539.94
ASUS ROG Graphics Card,799.99,1,2026-02-15 13:40:00,799.99
MSI RTX 4070 Ti Super,799.99,2,2026-02-16 11:15:20,1599.98
Nvidia RTX 4090,1699.99,1,2026-02-17 09:55:00,1699.99
NZXT H7 Flow Case,149.99,2,2026-02-18 15:30:45,299.98
Corsair RM1000x PSU,169.99,3,2026-02-19 10:45:15,509.97
Corsair Liquid Cooler,149.99,2,2026-02-20 12:20:30,299.98
Noctua Case Fans,89.99,4,2026-02-21 14:05:00,359.96
Lian Li PCIe Gen5 Riser,39.99,5,2026-02-22 11:35:45,199.95
Sabrent Rocket SSD,119.99,3,2026-02-23 09:50:20,359.97
